Review,Sentiment,Cleaned_Review,Tokenized_Review
Không kháng nước đc nhé, ,không kháng nước đc nhé,không kháng nước đc nhé
bán hàng đã qua sử dụng hay gì mà điện thoại mới lại có sẵn cường lực lúc ở đó không thấy rõ không nên không báo được giời muốn đổi mới lại được không. Vừa mua được vài tiếng đồng hồ., ,bán hàng đã qua sử dụng hay gì mà điện thoại mới lại có sẵn cường lực lúc ở đó không thấy rõ không nên không báo được giời muốn đổi mới lại được không vừa mua được vài tiếng đồng hồ,bán hàng đã qua sử_dụng hay gì mà điện_thoại mới lại có sẵn cường_lực lúc ở đó không thấy rõ không nên không báo được giời muốn đổi_mới lại được không vừa mua được vài tiếng đồng_hồ
Sao đt tôi mới mua tầm khoảng một tuần mà thấy sao hết pin nhan quá, ,sao đt tôi mới mua tầm khoảng một tuần mà thấy sao hết pin nhan quá,sao đt tôi mới mua tầm khoảng một tuần mà thấy sao hết pin nhan quá
Mới mua được tuần thì TGDD giảm giá mất tới 500k nhìn chỉ muốn vứt mẹ đi máy lác. Bắt wifi kém .đổi sang con khác thì mất hơn củ nữa dân ld xót lắm, ,mới mua được tuần thì tgdd giảm giá mất tới 500k nhìn chỉ muốn vứt mẹ đi máy lác bắt wifi kém đổi sang con khác thì mất hơn củ nữa dân ld xót lắm,mới mua được tuần thì tgdd giảm_giá mất tới 500k nhìn chỉ muốn vứt mẹ đi máy lác bắt wifi kém đổi sang con khác thì mất hơn củ nữa dân ld xót lắm
bị khựng và hay tự động tắt nguồn rồi bật lại....cho trải nghiệm k tốt, ,bị khựng và hay tự động tắt nguồn rồi bật lạicho trải nghiệm k tốt,bị khựng và hay tự_động tắt nguồn rồi bật lạicho trải_nghiệm k tốt
Rất tệ. Vô tiktok sập nguồn đủ 5 lần. Quạo hết mún nói. Thật sự rất tiếc khi bỏ 22tr ra để mua 1 chiếc Xiaomi 14. Rất bực xúc. Sạc thì tuột pin chã hỉu Xiaomi làm ăn kỉu j, ,rất tệ vô tiktok sập nguồn đủ 5 lần quạo hết mún nói thật sự rất tiếc khi bỏ 22tr ra để mua 1 chiếc xiaomi 14 rất bực xúc sạc thì tuột pin chã hỉu xiaomi làm ăn kỉu j,rất tệ vô tiktok sập nguồn đủ 5 lần quạo hết mún nói thật_sự rất tiếc khi bỏ 22tr ra để mua 1 chiếc xiaomi 14 rất bực xúc sạc thì tuột pin chã hỉu xiaomi làm_ăn kỉu j
Đt chụp ảnh bị lỗi gửi lên trung tâm bảo hành thẩm định mất 10 ngày kêu không lỗi rồi gửi về tôi nhận lại đt chụp hình vài tấm đã thấy giật giật chế độ chân dung k chuyển cảnh mà tgdd kêu k bị lỗi. Lỗi sờ sờ mà k check ra thì đặt câu hỏi là tgdd có thẩm định hay không Hay chỉ làm thủ tục qua loa. Vĩnh viễn k bao giờ mua hàng ở tgdd nữa, ,đt chụp ảnh bị lỗi gửi lên trung tâm bảo hành thẩm định mất 10 ngày kêu không lỗi rồi gửi về tôi nhận lại đt chụp hình vài tấm đã thấy giật giật chế độ chân dung k chuyển cảnh mà tgdd kêu k bị lỗi lỗi sờ sờ mà k check ra thì đặt câu hỏi là tgdd có thẩm định hay không hay chỉ làm thủ tục qua loa vĩnh viễn k bao giờ mua hàng ở tgdd nữa,đt chụp ảnh bị lỗi gửi lên trung_tâm bảo_hành thẩm_định mất 10 ngày kêu không lỗi rồi gửi về tôi nhận lại đt chụp hình vài tấm đã thấy giật giật chế_độ chân_dung k chuyển cảnh mà tgdd kêu k bị lỗi lỗi sờ_sờ mà k check ra thì đặt câu hỏi là tgdd có thẩm_định hay không hay chỉ làm thủ_tục qua_loa vĩnh_viễn k bao_giờ mua hàng ở tgdd nữa
"Là một người dùng đt oppo lâu năm,thì khuyên mn thật lòng nếu ai mua máy này với y dinh chụp hình thì nen mua oppo khác chứ con máy này quá tệ,chả hiểu sao oppo co thể ra mắt một sp như này,phí cả 13trieu bạc mua về thua cả con oppo renno 6 cũ,chụp ảnh thì cứ bị sọc, quay video buổi tối mở ra xem lại thì mắt mũi sọc chớp nháy lia lịa,trong khi mình chả chớp mắt cái nào,đã mang ra dmx test và kết quả là tất cả các máy này camera đều bị thế,cảm thấy tiếc tiền vô cùng vì sp ko xứng đáng giá tiền,hi vọng nhà sản xuất sẽ sớm khắc phục dc lỗi này", ,là một người dùng đt oppo lâu nămthì khuyên mn thật lòng nếu ai mua máy này với y dinh chụp hình thì nen mua oppo khác chứ con máy này quá tệchả hiểu sao oppo co thể ra mắt một sp như nàyphí cả 13trieu bạc mua về thua cả con oppo renno 6 cũchụp ảnh thì cứ bị sọc quay video buổi tối mở ra xem lại thì mắt mũi sọc chớp nháy lia lịatrong khi mình chả chớp mắt cái nàođã mang ra dmx test và kết quả là tất cả các máy này camera đều bị thếcảm thấy tiếc tiền vô cùng vì sp ko xứng đáng giá tiềnhi vọng nhà sản xuất sẽ sớm khắc phục dc lỗi này,là một người dùng đt oppo lâu nămthì khuyên mn thật lòng nếu ai mua máy này với y dinh chụp hình thì nen mua oppo khác chứ con máy này quá tệchả hiểu sao oppo co thể ra_mắt một sp như nàyphí cả 13trieu bạc mua về thua cả con oppo renno 6 cũchụp ảnh thì cứ bị sọc quay video buổi tối mở ra xem_lại thì mắt_mũi sọc chớp nháy lia lịatrong khi mình chả chớp_mắt cái nàođã mang ra dmx test và kết_quả là tất_cả các máy này camera đều bị thếcảm thấy tiếc tiền vô_cùng vì sp ko xứng_đáng giá tiềnhi vọng nhà_sản_xuất sẽ sớm khắc_phục dc lỗi này
Điện thoại a58 nghe gọi video quá tệ, ,điện thoại a58 nghe gọi video quá tệ,điện_thoại a58 nghe gọi video quá tệ
tui mua điện thôi ơi thế giới di động độp họp luôn mà bị hở mắn hình rớt buồn . mua được 47 ngay . không có lam rớt . sai rất kỹ, ,tui mua điện thôi ơi thế giới di động độp họp luôn mà bị hở mắn hình rớt buồn mua được 47 ngay không có lam rớt sai rất kỹ,tui mua điện thôi ơi thế_giới di_động độp họp luôn mà bị hở mắn hình rớt buồn mua được 47 ngay không có lam rớt sai rất kỹ
"Nói thật chứ các bạn dùng ntn, chứ tôi thấy khá tệ nghe gọi rất bực lúc nghe đc lúc không nghe đc nhất là 2 cái oppo gọi cho nhau.", ,nói thật chứ các bạn dùng ntn chứ tôi thấy khá tệ nghe gọi rất bực lúc nghe đc lúc không nghe đc nhất là 2 cái oppo gọi cho nhau,nói thật chứ các bạn dùng ntn chứ tôi thấy khá tệ nghe gọi rất bực lúc nghe đc lúc không nghe đc nhất_là 2 cái oppo gọi cho nhau
Lỗi, ,lỗi,lỗi
Sản phẩm sử dụng chưa được 10 tháng nữa mà hết dây cáp sạc bị lỗi rồi đến máy bị lỗi. Mõi cái đem đi bảo hành từ 714 ngày. Bó tay. Tôi rất buồn khi mua sản phẩm này., ,sản phẩm sử dụng chưa được 10 tháng nữa mà hết dây cáp sạc bị lỗi rồi đến máy bị lỗi mõi cái đem đi bảo hành từ 714 ngày bó tay tôi rất buồn khi mua sản phẩm này,sản_phẩm sử_dụng chưa được 10 tháng nữa mà hết dây_cáp sạc bị lỗi rồi đến máy bị lỗi mõi cái đem đi bảo_hành từ 714 ngày bó_tay tôi rất buồn khi mua sản_phẩm này
Mới mua hôm qua 5.5tr.nay giảm còn 5tr. Mà màn hình chán vãi k ưng, ,mới mua hôm qua 55trnay giảm còn 5tr mà màn hình chán vãi k ưng,mới mua hôm_qua 55trnay giảm còn 5tr mà màn_hình chán vãi k ưng
"Máy mua chưa được 1 tháng hỏng camera trước, TGDD không bảo hành", ,máy mua chưa được 1 tháng hỏng camera trước tgdd không bảo hành,máy mua chưa được 1 tháng hỏng camera trước tgdd không bảo_hành
Chụp ảnh hình ảnh quá chán luôn thua sam sung hẳn..điện thoại lịch dương thì có còn lịch âm thì ko..quá thất vọng về phần hình ảnh..ko đáng để bỏ ra gần 10trieu để mua cái đt này mới dùng có 6ngày là thấy chán từ mấy hôm trước rồi., ,chụp ảnh hình ảnh quá chán luôn thua sam sung hẳnđiện thoại lịch dương thì có còn lịch âm thì koquá thất vọng về phần hình ảnhko đáng để bỏ ra gần 10trieu để mua cái đt này mới dùng có 6ngày là thấy chán từ mấy hôm trước rồi,chụp ảnh hình_ảnh quá chán luôn thua sam sung hẳnđiện thoại lịch dương thì có còn lịch âm thì koquá thất_vọng về phần hình ảnhko đáng để bỏ ra gần 10trieu để mua cái đt này mới dùng có 6ngày là thấy chán từ mấy hôm trước rồi
Chụp ảnh xấu nhanh xuống pin, ,chụp ảnh xấu nhanh xuống pin,chụp ảnh xấu nhanh xuống pin
"Mình mới mua hôm 19 này cho mẹ dùng . Mag sau mấy ngày test thấy máy láng và chậm lắm, các bà dùng k được đâu . Giờ mình muốn đổi mua máy khác được k vậy", ,mình mới mua hôm 19 này cho mẹ dùng mag sau mấy ngày test thấy máy láng và chậm lắm các bà dùng k được đâu giờ mình muốn đổi mua máy khác được k vậy,mình mới mua hôm 19 này cho mẹ dùng mag sau mấy ngày test thấy máy láng và chậm lắm các bà dùng k được đâu giờ mình muốn đổi mua máy khác được k vậy
Mua đập hộp dùng 6 tháng tụt hết 7% ngày sạc 2 lần k dùng khi đang sạc lun, ,mua đập hộp dùng 6 tháng tụt hết 7 ngày sạc 2 lần k dùng khi đang sạc lun,mua đập_hộp dùng 6 tháng tụt hết 7 ngày sạc 2 lần k dùng khi đang sạc lun
Đt lâu bị đơ voi NC đt lúc nghe lúc không nghe, ,đt lâu bị đơ voi nc đt lúc nghe lúc không nghe,đt lâu bị đơ voi nc đt lúc nghe lúc không nghe
Mới 6 tháng pin con 89 quá tệ, ,mới 6 tháng pin con 89 quá tệ,mới 6 tháng pin con 89 quá tệ
"Có ai dùng S24 lúc dùng bị nóng máy từ lúc mua về tới giờ, Chỉ dùng zalo với ticto dùng S24 lúc dùng bị nóng máy từ lúc mua về tới giờ, Chỉ dùng zalo với tick tock mà vẩn nóngỐp phía sau bị bong ra không nhỉ.", ,có ai dùng s24 lúc dùng bị nóng máy từ lúc mua về tới giờ chỉ dùng zalo với ticto dùng s24 lúc dùng bị nóng máy từ lúc mua về tới giờ chỉ dùng zalo với tick tock mà vẩn nóngốp phía sau bị bong ra không nhỉ,có ai dùng s24 lúc dùng bị nóng máy từ lúc mua về tới giờ chỉ dùng zalo với ticto dùng s24 lúc dùng bị nóng máy từ lúc mua về tới giờ chỉ dùng zalo với tick tock mà vẩn nóngốp phía sau bị bong ra không nhỉ
Vào ứng dụng chậm lag ram6 như ram4 hyper os chưa thự sự tối ưu đa nhiệm kém, ,vào ứng dụng chậm lag ram6 như ram4 hyper os chưa thự sự tối ưu đa nhiệm kém,vào ứng_dụng chậm lag ram6 như ram4 hyper os chưa thự sự tối_ưu đa_nhiệm kém
"Bỏ ra 28tr mua cái điện thoại vân tay ko nhạy máy thì lag , đem ra điện máy xanh vĩnh tân tân uyên bình dương nhân viên kỹ thuật yếu kém không biết gì , máy ngta đang dùng 120hz mà thần kỹ thuật chỉnh lại 60hz nói nó ngu mà nó còn cải , nói chuyện với khách hàng lấc ca lấc cát bố đời không giải quyết được gì", ,bỏ ra 28tr mua cái điện thoại vân tay ko nhạy máy thì lag đem ra điện máy xanh vĩnh tân tân uyên bình dương nhân viên kỹ thuật yếu kém không biết gì máy ngta đang dùng 120hz mà thần kỹ thuật chỉnh lại 60hz nói nó ngu mà nó còn cải nói chuyện với khách hàng lấc ca lấc cát bố đời không giải quyết được gì,bỏ ra 28tr mua cái điện_thoại vân tay ko nhạy máy thì lag đem ra điện_máy xanh vĩnh tân_tân_uyên bình_dương nhân_viên kỹ_thuật yếu_kém không biết gì máy ngta đang dùng 120hz mà thần kỹ_thuật chỉnh lại 60hz nói nó ngu mà nó còn cải nói_chuyện với khách_hàng lấc ca lấc cát bố đời không giải_quyết được gì
mình khuyên mn nên cân nhắc trước khi mua máy cực kì lag và giật bắt wifi cực kì kém mua dùng được 3 ngày nhứt hết cả mắt bây h trả lại mất 20% phí gần cả triệu rất hối hận khi mua oppo, ,mình khuyên mn nên cân nhắc trước khi mua máy cực kì lag và giật bắt wifi cực kì kém mua dùng được 3 ngày nhứt hết cả mắt bây h trả lại mất 20 phí gần cả triệu rất hối hận khi mua oppo,mình khuyên mn nên cân_nhắc trước khi mua máy cực_kì lag và giật bắt wifi cực_kì kém mua dùng được 3 ngày nhứt hết cả_mắt bây h trả lại mất 20 phí gần cả triệu rất hối_hận khi mua oppo
sài được 1 năm bắt đầu 2 ngày xuống 1% pin trong khi sài hk có bao nhiêu với lâu lâu nó bị dựt lag cảm thấy rất uổng tiền ạ, ,sài được 1 năm bắt đầu 2 ngày xuống 1 pin trong khi sài hk có bao nhiêu với lâu lâu nó bị dựt lag cảm thấy rất uổng tiền ạ,sài được 1 năm bắt_đầu 2 ngày xuống 1 pin trong khi sài hk có bao_nhiêu với lâu_lâu nó bị dựt lag cảm_thấy rất uổng tiền ạ
Máy dùng thỉnh thoảng lag lắm, ,máy dùng thỉnh thoảng lag lắm,máy dùng thỉnh_thoảng lag lắm
"Mình mới mua được 2 tuần pin không xài vẫn tuột, xài thì tuột nhanh, máy không được mượt...mình muốn đổi máy khác được không", ,mình mới mua được 2 tuần pin không xài vẫn tuột xài thì tuột nhanh máy không được mượtmình muốn đổi máy khác được không,mình mới mua được 2 tuần pin không xài vẫn tuột xài thì tuột nhanh máy không được mượtmình muốn đổi máy khác được không
Sp k mướt hay bị lỗi phần mềm, ,sp k mướt hay bị lỗi phần mềm,sp k mướt hay bị lỗi phần_mềm
Dùng chậm lòi. Hay do dùng đt mượt quen dùng con chậm nên ko quen nhỉ, ,dùng chậm lòi hay do dùng đt mượt quen dùng con chậm nên ko quen nhỉ,dùng chậm lòi hay do dùng đt mượt quen dùng con chậm nên ko quen nhỉ
pin tụt nhanh quá ngày sạc 3 lần chán, ,pin tụt nhanh quá ngày sạc 3 lần chán,pin tụt nhanh quá ngày sạc 3 lần chán
Tôi mua mới ko dùng cũng hao pin quá. Sản phẩm ko nên mua vì hao pin. Ko biết máy có lỗi ko, ,tôi mua mới ko dùng cũng hao pin quá sản phẩm ko nên mua vì hao pin ko biết máy có lỗi ko,tôi mua mới ko dùng cũng hao pin quá sản_phẩm ko nên mua vì hao pin ko biết máy có lỗi ko
4đ cho con oppo này thứ nhất là pin tuột nhanh dù k xài cũng tuột còn lướt fb hay tt xem thì xuống nhanh như tia chớp dù đã lm theo cách nv hd nhưng vẫn k có tcs dụng gì thứ 2 cuộc gọi nc quá là nhỏ dù đã mở loa ngoài nhưng vẫn nhỏ thứ 3 camera dùng app hay cam thường vẫn là 1 kiểu k thay đổi quá nản, ,4đ cho con oppo này thứ nhất là pin tuột nhanh dù k xài cũng tuột còn lướt fb hay tt xem thì xuống nhanh như tia chớp dù đã lm theo cách nv hd nhưng vẫn k có tcs dụng gì thứ 2 cuộc gọi nc quá là nhỏ dù đã mở loa ngoài nhưng vẫn nhỏ thứ 3 camera dùng app hay cam thường vẫn là 1 kiểu k thay đổi quá nản,4đ cho con oppo này thứ nhất là pin tuột nhanh dù k xài cũng tuột còn lướt fb hay tt xem thì xuống nhanh như tia chớp dù đã lm theo cách nv hd nhưng vẫn k có tcs dụng gì thứ 2 cuộc_gọi nc quá là nhỏ dù đã mở loa ngoài nhưng vẫn nhỏ thứ 3 camera dùng app hay cam thường vẫn là 1 kiểu k thay_đổi quá nản
Tụt pin quá nhanh sạc 99% để yên 2 ngày còn 11%, ,tụt pin quá nhanh sạc 99 để yên 2 ngày còn 11,tụt pin quá nhanh sạc 99 để yên 2 ngày còn 11
Pin xuống nhanh.máy dùng thì nóng, ,pin xuống nhanhmáy dùng thì nóng,pin xuống nhanhmáy dùng thì nóng
"lúc đầu vừa khui ra điện thoại đã có tình trạng giật lag đơ màn hình nói nhân viên thì nhân viên nói do máy mới mở khui hộp máy chưa quen , dùng để coi youtube thôi khi đang coi mà lướt xuống để chọn mục khác coi máy lướt khự khự không mượt mà dừng coi thì lướt mới mượt được nói chung là quá là tệ đã sợ máy có tình trang lag đơ nên mới mua bản 6G , còn thêm tính linh hoat của máy lâu lâu bấm thoát ứng dụng hoặc quay lại máy đơ đơ không linh hoat phải 5 6 giây sau máy mới thoát ra màn hình chính tình trang như khởi động lại toàn bộ hệ 1 lát sau mới xuất hiên lại các ứng dụng trên màn hình chính , nói luôn là máy không hề chạy bất kì 1 ứng dụng chạy ngầm hay nặng nào trên máy bộ nhớ luôn trống mà đã như vậy thật sự rất chán khó chịu mua để làm điện thoại phụ mà buồn trả muốn nói mua sử dụng chưa được 1 tháng còn hơn 10 bữa nữa mới được 1 tháng bay h mà tgdd cho đổi sản phẩm khác không trừ mất phí 20% t thêm tiền lấy sản phẩm khác của samsung có giá tiền cao hơn", ,lúc đầu vừa khui ra điện thoại đã có tình trạng giật lag đơ màn hình nói nhân viên thì nhân viên nói do máy mới mở khui hộp máy chưa quen dùng để coi youtube thôi khi đang coi mà lướt xuống để chọn mục khác coi máy lướt khự khự không mượt mà dừng coi thì lướt mới mượt được nói chung là quá là tệ đã sợ máy có tình trang lag đơ nên mới mua bản 6g còn thêm tính linh hoat của máy lâu lâu bấm thoát ứng dụng hoặc quay lại máy đơ đơ không linh hoat phải 5 6 giây sau máy mới thoát ra màn hình chính tình trang như khởi động lại toàn bộ hệ 1 lát sau mới xuất hiên lại các ứng dụng trên màn hình chính nói luôn là máy không hề chạy bất kì 1 ứng dụng chạy ngầm hay nặng nào trên máy bộ nhớ luôn trống mà đã như vậy thật sự rất chán khó chịu mua để làm điện thoại phụ mà buồn trả muốn nói mua sử dụng chưa được 1 tháng còn hơn 10 bữa nữa mới được 1 tháng bay h mà tgdd cho đổi sản phẩm khác không trừ mất phí 20 t thêm tiền lấy sản phẩm khác của samsung có giá tiền cao hơn,lúc đầu vừa khui ra điện_thoại đã có tình_trạng giật lag đơ màn_hình nói nhân_viên thì nhân_viên nói do máy mới mở khui hộp máy chưa quen dùng để coi youtube thôi khi đang coi mà lướt xuống để chọn mục khác coi máy lướt khự khự không mượt_mà dừng coi thì lướt mới mượt được nói_chung là quá là tệ đã sợ máy có tình trang lag đơ nên mới mua bản 6g còn thêm tính linh hoat của máy lâu_lâu bấm thoát ứng_dụng hoặc quay lại máy đơ đơ không linh hoat phải 5 6 giây sau máy mới thoát ra màn_hình chính tình trang như khởi_động lại toàn_bộ hệ 1 lát sau mới xuất hiên lại các ứng_dụng trên màn_hình chính nói luôn là máy không hề chạy bất_kì 1 ứng_dụng chạy ngầm hay nặng nào trên máy bộ_nhớ luôn trống mà đã như_vậy thật_sự rất chán khó_chịu mua để làm điện_thoại phụ mà buồn trả muốn nói mua sử_dụng chưa được 1 tháng còn hơn 10 bữa nữa mới được 1 tháng bay h mà tgdd cho đổi sản_phẩm khác không trừ mất phí 20 t thêm tiền lấy sản_phẩm khác của samsung có giá tiền cao hơn
"Nhân viên phục vụ rất tận tình giới thiệu đt rất ok. Nhưng khi mua về sử dụng mới thấy, đt rất dễ nóng, đt còn hay lỗi nữa zalo mess gọi đến k đc trong khi sử dụng wifi và 4G, camera thì chụp xấu, mua sài mới thấy hối hận", ,nhân viên phục vụ rất tận tình giới thiệu đt rất ok nhưng khi mua về sử dụng mới thấy đt rất dễ nóng đt còn hay lỗi nữa zalo mess gọi đến k đc trong khi sử dụng wifi và 4g camera thì chụp xấu mua sài mới thấy hối hận,nhân_viên phục_vụ rất tận_tình giới_thiệu đt rất ok nhưng khi mua về sử_dụng mới thấy đt rất dễ nóng đt còn hay lỗi nữa zalo mess gọi đến k đc trong khi sử_dụng wifi và 4g camera thì chụp xấu mua sài mới thấy hối_hận
Máy có bâtj NFC nhưng quét chip ko ĐK. Như vậy là lỗi làm sao ah. Dùng ĐK 2 ngày đã chán rùi, ,máy có bâtj nfc nhưng quét chip ko đk như vậy là lỗi làm sao ah dùng đk 2 ngày đã chán rùi,máy có bâtj nfc nhưng quét chip ko đk như_vậy là lỗi làm_sao ah dùng đk 2 ngày đã chán rùi
"Giật lag, để qua đêm tuột pin quá", ,giật lag để qua đêm tuột pin quá,giật lag để qua đêm tuột pin quá
Mua ip 15pro Nhân viên tư vấn không nhiệt tình chỉ lo bán được máy ko tư vấn cho khách phần khuyến mãi đợi khách hỏi mới trả lời cửa hàng tại đèn xanh đèn đỏ vào thị trấn Vĩnh bình gò công Tây tiền giang, ,mua ip 15pro nhân viên tư vấn không nhiệt tình chỉ lo bán được máy ko tư vấn cho khách phần khuyến mãi đợi khách hỏi mới trả lời cửa hàng tại đèn xanh đèn đỏ vào thị trấn vĩnh bình gò công tây tiền giang,mua ip 15pro nhân_viên tư_vấn không nhiệt_tình chỉ lo bán được máy ko tư_vấn cho khách phần khuyến_mãi đợi khách hỏi mới trả_lời cửa_hàng tại đèn_xanh đèn_đỏ vào thị_trấn vĩnh bình gò_công_tây tiền_giang
"Mua để nghe gọi, ko nối wifi họăc dùng các mục đích khác. Mau hết pin lắm luôn so với các dòng khác của Oppo mình từng dùng. Để yên một ngày pin tụt từ 1520%. Danh bạ được thiết kế quá sơ sài. Muốn xóa tên liên lạc phải xóa thủ công từng tên một, ko chọn được nhiều tên cùng lúc để xóa. Ko có nhóm trên danh bạ. Không nên mua. Thêm tiền mua dòng cao hơn các bác ạ. Đánh giá ngày 10/9/2024. Mua máy ngày 7/9/2024 dùng được 3 ngày nên m đánh giá để mn tham khảo. Nếu cho phép hòan trả ko mất phí hoặc tốn phí nhẹ chắc m trả lại luôn quá. Rất tín nhiệm ĐT Oppo nhưng từ khi dùng sp này, thực lòng niềm tin bị lung lay quá trời...Huhuhu. Kíu em, kíu em", ,mua để nghe gọi ko nối wifi họăc dùng các mục đích khác mau hết pin lắm luôn so với các dòng khác của oppo mình từng dùng để yên một ngày pin tụt từ 1520 danh bạ được thiết kế quá sơ sài muốn xóa tên liên lạc phải xóa thủ công từng tên một ko chọn được nhiều tên cùng lúc để xóa ko có nhóm trên danh bạ không nên mua thêm tiền mua dòng cao hơn các bác ạ đánh giá ngày 1092024 mua máy ngày 792024 dùng được 3 ngày nên m đánh giá để mn tham khảo nếu cho phép hòan trả ko mất phí hoặc tốn phí nhẹ chắc m trả lại luôn quá rất tín nhiệm đt oppo nhưng từ khi dùng sp này thực lòng niềm tin bị lung lay quá trờihuhuhu kíu em kíu em,mua để nghe gọi ko nối wifi họăc dùng các mục_đích khác mau hết pin lắm luôn so với các dòng khác của oppo mình từng dùng để yên một ngày pin tụt từ 1520 danh_bạ được thiết_kế quá sơ_sài muốn xoá tên liên_lạc phải xoá thủ_công từng tên một ko chọn được nhiều tên cùng lúc để xoá ko có nhóm trên danh_bạ không nên mua thêm tiền mua dòng cao hơn các bác ạ đánh_giá ngày 1092024 mua máy ngày 792024 dùng được 3 ngày nên m đánh_giá để mn tham_khảo nếu cho_phép hoàn_trả ko mất phí hoặc tốn_phí nhẹ chắc m trả lại luôn quá rất tín_nhiệm đt oppo nhưng từ khi dùng sp này thực_lòng niềm tin bị lung_lay quá trờihuhuhu kíu em kíu em
Sai lầm khi mua Oppo.xài mới hơn tháng bị nám màn hình, ,sai lầm khi mua oppoxài mới hơn tháng bị nám màn hình,sai_lầm khi mua oppoxài mới hơn tháng bị nám màn_hình
